Wort                                  Start         Ende
--------------------------------------------------------
Ja,                            00:00:07.460 00:00:08.040
stellen                        00:00:37.680 00:00:38.140
ein                            00:00:38.140 00:00:38.460
Hirn                           00:00:38.460 00:00:38.860
her,                           00:00:38.860 00:00:39.080
wenn                           00:00:39.120 00:00:39.260
man                            00:00:39.260 00:00:39.400
es                             00:00:39.400 00:00:39.600
so                             00:00:39.600 00:00:39.700
sagen                          00:00:39.700 00:00:39.980
will,                          00:00:39.980 00:00:40.160
was                            00:00:40.460 00:00:40.460
mit                            00:00:40.460 00:00:41.200
Überschüssen                   00:00:41.200 00:00:41.980
reichhaltig                    00:00:41.980 00:00:43.080
beschenkt                      00:00:43.080 00:00:43.740
ist.                           00:00:43.740 00:00:44.020
Viel                           00:00:44.300 00:00:44.420
zu                             00:00:44.420 00:00:44.560
viele                          00:00:44.560 00:00:44.740
Nervenzellen                   00:00:44.740 00:00:45.320
hatten                         00:00:45.320 00:00:45.540
Sie                            00:00:45.540 00:00:45.740
alle                           00:00:45.740 00:00:45.920
mal                            00:00:45.920 00:00:46.140
in                             00:00:46.140 00:00:46.800
Ihrem                          00:00:46.800 00:00:47.060
Hirn,                          00:00:47.060 00:00:47.480
bevor                          00:00:47.680 00:00:48.640
Sie                            00:00:48.640 00:00:48.840
auf                            00:00:48.840 00:00:48.960
die                            00:00:48.960 00:00:49.100
Welt                           00:00:49.100 00:00:49.240
gekommen                       00:00:49.240 00:00:49.500
sind.                          00:00:49.500 00:00:49.800
Ein                            00:00:50.160 00:00:50.260
Drittel                        00:00:50.260 00:00:50.580
ist                            00:00:50.580 00:00:50.780
da                             00:00:50.780 00:00:50.920
gleich                         00:00:50.920 00:00:51.100
schon                          00:00:51.100 00:00:51.300
mal                            00:00:51.300 00:00:51.420
weggeschrumpelt,               00:00:51.420 00:00:51.980
weil                           00:00:51.980 00:00:52.140
es                             00:00:52.140 00:00:52.300
übrig                          00:00:52.300 00:00:52.520
war.                           00:00:52.520 00:00:52.740
Da                             00:00:52.840 00:00:52.900
hätten                         00:00:52.900 00:00:53.080
sich                           00:00:53.080 00:00:53.300
die                            00:00:53.300 00:00:53.480
genetischen                    00:00:53.480 00:00:53.940
Programme                      00:00:53.940 00:00:54.460
sozusagen                      00:00:54.460 00:00:54.760
schon                          00:00:54.760 00:00:55.060
mal                            00:00:55.060 00:00:55.180
verschätzt.                    00:00:55.180 00:00:56.020
Und                            00:00:56.660 00:00:56.660
ähnlich                        00:00:56.660 00:00:57.020
machen                         00:00:57.020 00:00:57.280
Sie                            00:00:57.280 00:00:57.540
das                            00:00:57.540 00:00:57.680
auch                           00:00:57.680 00:00:57.880
mit                            00:00:57.880 00:00:58.040
den                            00:00:58.040 00:00:58.220
Vernetzungen.                  00:00:58.220 00:00:58.740
Es                             00:00:58.740 00:00:58.920
werden                         00:00:58.920 00:00:59.080
riesige                        00:00:59.080 00:00:59.880
Überschüsse                    00:00:59.880 00:01:00.420
von                            00:01:00.420 00:01:00.580
Vernetzungen                   00:01:00.580 00:01:01.120
bereitgestellt                 00:01:01.120 00:01:01.640
und                            00:01:01.640 00:01:01.840
dann                           00:01:01.840 00:01:02.080
guckt,                         00:01:02.080 00:01:02.620
dass                           00:01:02.900 00:01:03.420
hier                           00:01:03.420 00:01:03.600
was                            00:01:03.600 00:01:05.180
davon                          00:01:05.180 00:01:05.480
gebraucht                      00:01:05.480 00:01:05.960
wird.                          00:01:05.960 00:01:06.160
Und                            00:01:06.500 00:01:06.580
das                            00:01:06.580 00:01:06.700
kann                           00:01:06.700 00:01:06.920
mal                            00:01:06.920 00:01:07.160
weniger                        00:01:07.160 00:01:07.540
sein                           00:01:07.540 00:01:07.960
und                            00:01:07.960 00:01:08.860
mal                            00:01:08.860 00:01:09.060
mehr.                          00:01:09.060 00:01:09.400
Und                            00:01:10.220 00:01:10.220
manche                         00:01:10.220 00:01:11.520
haben                          00:01:11.520 00:01:11.740
etwas                          00:01:11.740 00:01:12.380
mehr                           00:01:12.380 00:01:12.660
Glück                          00:01:12.660 00:01:12.940
und                            00:01:12.940 00:01:13.480
manche                         00:01:13.480 00:01:14.000
haben                          00:01:14.000 00:01:14.180
etwas                          00:01:14.180 00:01:14.460
weniger                        00:01:14.460 00:01:14.880
Glück                          00:01:14.880 00:01:15.280
und                            00:01:15.280 00:01:15.660
in                             00:01:15.660 00:01:15.860
manchen,                       00:01:15.860 00:01:16.400
sehr                           00:01:16.520 00:01:17.520
mit                            00:01:17.520 00:01:17.720
die                            00:01:17.720 00:01:17.860
Schule                         00:01:17.860 00:01:18.100
schon                          00:01:18.100 00:01:18.520
hinter                         00:01:18.520 00:01:18.820
sich,                          00:01:18.820 00:01:19.160
geht                           00:01:19.340 00:01:19.740
da                             00:01:19.740 00:01:19.920
besonders                      00:01:19.920 00:01:20.160
viel                           00:01:20.160 00:01:20.520
verloren.                      00:01:20.520 00:01:20.960
Am                             00:01:21.540 00:01:21.660
Ende                           00:01:21.660 00:01:21.940
sind                           00:01:21.940 00:01:22.180
wir                            00:01:22.180 00:01:22.380
alle                           00:01:22.380 00:01:22.620
mehr                           00:01:22.620 00:01:22.820
oder                           00:01:22.820 00:01:22.980
weniger                        00:01:22.980 00:01:23.340
gut                            00:01:23.340 00:01:23.640
gelungene                      00:01:23.640 00:01:24.240
Kümmerversionen                00:01:24.240 00:01:24.940
dessen,                        00:01:24.940 00:01:25.400
was                            00:01:25.460 00:01:25.840
aus                            00:01:25.840 00:01:26.100
uns                            00:01:26.100 00:01:26.200
hätte                          00:01:26.200 00:01:26.420
werden                         00:01:26.420 00:01:26.640
können.                        00:01:26.640 00:01:26.960
Wunderbar,                     00:01:27.200 00:01:27.580
herzlichen                     00:01:27.700 00:01:28.000
Glückwunsch,                   00:01:28.000 00:01:28.500
dass                           00:01:28.560 00:01:28.640
Sie                            00:01:28.640 00:01:28.780
bisher                         00:01:28.780 00:01:29.060
hergekommen                    00:01:29.060 00:01:29.560
sind.                          00:01:29.560 00:01:29.980
Und                            00:01:30.560 00:01:30.660
jetzt                          00:01:30.660 00:01:30.820
kommt                          00:01:30.820 00:01:32.500
gewisse,                       00:01:32.500 00:01:33.320
was                            00:01:33.380 00:01:33.520
in                             00:01:33.520 00:01:33.660
die                            00:01:33.660 00:01:33.800
frohe                          00:01:33.800 00:01:34.160
Botschaft                      00:01:34.160 00:01:34.640
ist,                           00:01:34.640 00:01:35.920
es                             00:01:35.920 00:01:36.060
ist                            00:01:36.060 00:01:36.140
nicht                          00:01:36.140 00:01:36.280
so                             00:01:36.280 00:01:36.440
spät.                          00:01:36.440 00:01:36.740
Nicht                          00:01:38.040 00:01:38.520
nur                            00:01:38.520 00:01:38.740
für                            00:01:38.740 00:01:38.940
eine                           00:01:38.940 00:01:39.180
Veränderung                    00:01:39.180 00:01:39.720
dessen,                        00:01:39.720 00:01:40.060
was                            00:01:40.140 00:01:40.220
wir                            00:01:40.220 00:01:40.420
in                             00:01:40.420 00:01:40.660
so                             00:01:40.660 00:01:40.800
eine                           00:01:40.800 00:01:40.900
Schule                         00:01:40.900 00:01:41.080
im                             00:01:41.080 00:01:41.320
Augenblick                     00:01:41.320 00:01:41.660
erleben,                       00:01:41.660 00:01:42.140
sondern                        00:01:42.280 00:01:42.400
es                             00:01:42.400 00:01:42.560
ist                            00:01:42.560 00:01:42.740
auch                           00:01:42.740 00:01:42.900
für                            00:01:42.900 00:01:43.500
uns                            00:01:43.500 00:01:43.740
erwachsenen.                   00:01:43.740 00:01:44.360
Nied                           00:01:44.480 00:01:44.580
zu                             00:01:44.580 00:01:44.760
spät                           00:01:44.760 00:01:45.060
bis                            00:01:45.060 00:01:45.240
ins                            00:01:45.240 00:01:45.520
hohe                           00:01:45.520 00:01:45.860
Alter                          00:01:45.860 00:01:46.200
könnte                         00:01:46.200 00:01:46.480
sich                           00:01:46.480 00:01:46.800
da                             00:01:46.800 00:01:47.000
oben                           00:01:47.000 00:01:47.240
nochmal                        00:01:47.240 00:01:47.560
was                            00:01:47.560 00:01:47.880
umbauen.                       00:01:47.880 00:01:48.540
Man                            00:01:48.720 00:01:48.800
muss                           00:01:48.800 00:01:49.060
nicht                          00:01:49.060 00:01:49.360
das                            00:01:49.360 00:01:50.180
ganze                          00:01:50.180 00:01:50.400
Leben                          00:01:50.400 00:01:50.760
lang                           00:01:50.760 00:01:50.960
mit                            00:01:50.960 00:01:51.120
dem                            00:01:51.120 00:01:51.280
gleichen                       00:01:51.280 00:01:51.540
Pian                           00:01:51.540 00:01:51.880
herumlaufen,                   00:01:51.880 00:01:52.760
was                            00:01:53.040 00:01:53.480
sich                           00:01:53.480 00:01:53.680
mal                            00:01:53.680 00:01:53.840
nach                           00:01:53.840 00:01:54.060
der                            00:01:54.060 00:01:54.280
Schule                         00:01:54.280 00:01:54.600
herausgebildet                 00:01:54.600 00:01:55.560
hat.                           00:01:55.560 00:01:55.800
Aber                           00:01:57.380 00:01:57.860
das                            00:01:57.860 00:01:58.080
Hirn                           00:01:58.080 00:01:58.320
ist                            00:01:58.320 00:01:58.420
eben                           00:01:58.420 00:01:58.620
kein                           00:01:58.620 00:01:58.780
Muskel,                        00:01:58.780 00:01:59.140
wie                            00:01:59.260 00:01:59.320
wird                           00:01:59.320 00:01:59.480
das                            00:01:59.480 00:01:59.660
in                             00:01:59.660 00:01:59.820
unserer                        00:01:59.820 00:02:00.160
gegenwärtigen                  00:02:00.160 00:02:00.820
Leistungsgesellschaft          00:02:00.820 00:02:01.760
allzu                          00:02:01.760 00:02:02.240
leicht                         00:02:02.240 00:02:02.500
immer                          00:02:02.500 00:02:02.760
wieder                         00:02:02.760 00:02:03.080
vermuten,                      00:02:03.080 00:02:03.920
sondern                        00:02:03.920 00:02:04.320
das                            00:02:04.320 00:02:05.900
Hirn                           00:02:05.900 00:02:06.200
kann                           00:02:06.200 00:02:06.380
man                            00:02:06.380 00:02:06.560
nicht                          00:02:06.560 00:02:06.780
trainieren.                    00:02:06.780 00:02:07.260
Also                           00:02:07.720 00:02:07.780
vergessen                      00:02:07.780 00:02:08.180
Sie                            00:02:08.180 00:02:08.440
alle                           00:02:08.440 00:02:08.780
brainjogging                   00:02:08.780 00:02:09.860
und                            00:02:09.860 00:02:10.200
ähnliche                       00:02:10.200 00:02:10.640
Trainingsverfahren.            00:02:12.200 00:02:12.720
Das                            00:02:12.720 00:02:13.240
Hirn                           00:02:13.240 00:02:13.560
ändert                         00:02:13.560 00:02:13.980
sich                           00:02:13.980 00:02:14.100
nur,                           00:02:14.100 00:02:14.420
das                            00:02:14.500 00:02:14.680
ändert                         00:02:14.680 00:02:15.040
nur                            00:02:15.040 00:02:15.260
seine                          00:02:15.260 00:02:15.620
Verschaltungen,                00:02:15.620 00:02:16.580
wenn                           00:02:16.580 00:02:16.840
einem                          00:02:16.840 00:02:17.160
wirklich                       00:02:17.160 00:02:17.520
mal                            00:02:17.520 00:02:17.840
was                            00:02:17.840 00:02:18.720
unter                          00:02:18.720 00:02:18.900
die                            00:02:18.900 00:02:19.040
Haut                           00:02:19.040 00:02:19.180
geht.                          00:02:19.180 00:02:19.440
Das                            00:02:19.700 00:02:19.700
heißt,                         00:02:19.700 00:02:19.860
das                            00:02:19.980 00:02:20.040
Hirn                           00:02:20.040 00:02:20.640
passt                          00:02:20.640 00:02:20.860
auf,                           00:02:20.860 00:02:21.240
ob                             00:02:21.700 00:02:22.300
es                             00:02:22.300 00:02:22.440
wichtig                        00:02:22.440 00:02:22.640
ist.                           00:02:22.640 00:02:22.960
Und                            00:02:23.320 00:02:23.400
wenn                           00:02:23.400 00:02:23.560
es                             00:02:23.560 00:02:23.700
wichtig                        00:02:23.700 00:02:23.920
ist,                           00:02:23.920 00:02:24.180
geht                           00:02:24.300 00:02:24.400
es                             00:02:24.400 00:02:24.500
unter                          00:02:24.500 00:02:24.680
die                            00:02:24.680 00:02:24.820
Haut,                          00:02:24.820 00:02:24.980
dann                           00:02:25.400 00:02:25.580
hat                            00:02:25.580 00:02:25.680
man                            00:02:25.680 00:02:25.840
Gefühl,                        00:02:25.840 00:02:26.220
dann                           00:02:26.780 00:02:26.900
gehen                          00:02:26.900 00:02:27.060
im                             00:02:27.060 00:02:27.260
Hirn                           00:02:27.260 00:02:27.540
die                            00:02:27.540 00:02:27.660
emotionalen                    00:02:27.660 00:02:28.240
Zentren                        00:02:28.240 00:02:28.560
an.                            00:02:28.560 00:02:28.760
Und                            00:02:29.580 00:02:30.100
wenn                           00:02:30.100 00:02:31.600
man                            00:02:31.600 00:02:31.740
irgendwas                      00:02:31.740 00:02:32.140
gut                            00:02:32.140 00:02:32.400
hingekriegt                    00:02:32.400 00:02:32.980
hat,                           00:02:32.980 00:02:33.200
dann                           00:02:33.440 00:02:33.440
werden                         00:02:33.440 00:02:33.740
an                             00:02:33.740 00:02:34.020
den                            00:02:34.020 00:02:34.160
Enten                          00:02:34.160 00:02:34.500
der                            00:02:34.500 00:02:34.640
Fortsätze                      00:02:34.640 00:02:35.100
dieser                         00:02:35.100 00:02:35.520
Nervenzeln,                    00:02:35.520 00:02:36.040
die                            00:02:36.240 00:02:36.240
Mittelhörn                     00:02:36.240 00:02:36.760
sitzen,                        00:02:36.760 00:02:36.980
diese                          00:02:37.160 00:02:37.280
wunderbaren                    00:02:37.280 00:02:37.800
neuroplastischen               00:02:37.800 00:02:38.840
Bodenstoffe                    00:02:38.840 00:02:39.560
ausgeschüttet                  00:02:39.560 00:02:40.160
und                            00:02:40.160 00:02:40.940
die                            00:02:40.940 00:02:41.140
wirken                         00:02:41.140 00:02:41.580
wie                            00:02:41.580 00:02:41.740
Dünger                         00:02:41.740 00:02:42.140
aufs                           00:02:42.140 00:02:42.720
Hirn.                          00:02:42.720 00:02:42.900
Jetzt                          00:02:43.160 00:02:43.560
wissen                         00:02:43.560 00:02:43.720
Sie,                           00:02:43.720 00:02:43.960
warum                          00:02:44.060 00:02:44.180
Sie                            00:02:44.180 00:02:44.400
bei                            00:02:44.400 00:02:44.540
allem,                         00:02:44.540 00:02:44.840
was                            00:02:44.900 00:02:45.040
Sie                            00:02:45.040 00:02:45.160
so                             00:02:45.160 00:02:45.280
richtig                        00:02:45.280 00:02:45.540
gut                            00:02:45.540 00:02:45.800
hinkriegen,                    00:02:45.800 00:02:46.340
was                            00:02:46.760 00:02:46.860
Ihnen                          00:02:46.860 00:02:47.060
richtig                        00:02:47.060 00:02:47.440
Freude                         00:02:47.440 00:02:47.800
macht.                         00:02:47.800 00:02:48.080
Warum                          00:02:49.200 00:02:49.720
Sie                            00:02:49.720 00:02:49.880
da                             00:02:49.880 00:02:49.980
immer                          00:02:49.980 00:02:50.160
besser                         00:02:50.160 00:02:50.400
werden                         00:02:50.400 00:02:50.660
und                            00:02:50.660 00:02:51.000
warum                          00:02:51.000 00:02:51.220
das                            00:02:51.220 00:02:51.380
immer                          00:02:51.380 00:02:51.560
mehr                           00:02:51.560 00:02:51.760
Freude                         00:02:51.760 00:02:52.080
macht.                         00:02:52.080 00:02:52.300
Und                            00:03:01.200 00:03:01.720
so                             00:03:01.720 00:03:01.720
haben                          00:03:01.720 00:03:01.800
Sie                            00:03:01.800 00:03:01.820
sich                           00:03:01.820 00:03:02.140
am                             00:03:02.140 00:03:03.480
Tag                            00:03:03.480 00:03:03.920
so                             00:03:03.920 00:03:04.220
ungefähr                       00:03:04.220 00:03:05.780
50                             00:03:05.780 00:03:06.360
-100                           00:03:06.360 00:03:06.800
mal                            00:03:06.800 00:03:07.000
über                           00:03:07.000 00:03:07.300
irgendetwas                    00:03:07.300 00:03:07.840
begeistert,                    00:03:07.840 00:03:08.560
wo                             00:03:08.700 00:03:08.760
es                             00:03:08.760 00:03:08.880
mit                            00:03:08.880 00:03:09.040
Ihnen                          00:03:09.040 00:03:09.180
durchgegangen                  00:03:09.180 00:03:09.740
ist.                           00:03:09.740 00:03:09.960
Weil                           00:03:10.100 00:03:10.120
Sie                            00:03:10.120 00:03:10.240
schon                          00:03:10.240 00:03:10.340
wieder                         00:03:10.340 00:03:10.560
irgendwas                      00:03:10.560 00:03:10.920
entdeckt                       00:03:10.920 00:03:11.360
haben,                         00:03:11.360 00:03:11.580
weil                           00:03:11.680 00:03:11.700
Sie                            00:03:11.700 00:03:11.820
schon                          00:03:11.820 00:03:11.900
wieder                         00:03:11.900 00:03:12.080
einen                          00:03:12.080 00:03:12.220
Traum                          00:03:12.220 00:03:12.620
gehabt                         00:03:12.620 00:03:13.240
haben                          00:03:13.240 00:03:13.660
und                            00:03:13.660 00:03:13.840
eine                           00:03:13.840 00:03:14.000
gute                           00:03:14.000 00:03:14.120
Idee.                          00:03:14.120 00:03:14.500
Und                            00:03:15.860 00:03:15.980
da                             00:03:15.980 00:03:16.160
ist                            00:03:16.160 00:03:16.300
also                           00:03:16.300 00:03:16.420
50                             00:03:16.420 00:03:16.820
-100                           00:03:16.820 00:03:17.200
mal                            00:03:17.200 00:03:17.500
diese                          00:03:17.500 00:03:17.720
wunderbare                     00:03:17.720 00:03:18.160
Gießkanne                      00:03:18.160 00:03:18.700
im                             00:03:18.700 00:03:18.880
Hirn                           00:03:18.880 00:03:19.040
mit                            00:03:19.040 00:03:19.160
dem                            00:03:19.160 00:03:19.300
Dünger                         00:03:19.300 00:03:19.560
angegangen                     00:03:19.560 00:03:20.020
und                            00:03:20.020 00:03:20.360
deshalb                        00:03:20.360 00:03:20.920
haben                          00:03:20.920 00:03:21.080
Sie                            00:03:21.080 00:03:21.220
damals                         00:03:21.220 00:03:21.440
so                             00:03:21.440 00:03:21.600
viel                           00:03:21.600 00:03:21.720
gelernt.                       00:03:21.720 00:03:21.980
Und                            00:03:22.220 00:03:22.280
dann                           00:03:22.280 00:03:22.380
hat                            00:03:22.380 00:03:22.520
man                            00:03:22.520 00:03:22.660
sie                            00:03:22.660 00:03:22.820
in                             00:03:22.820 00:03:22.920
die                            00:03:22.920 00:03:22.980
Schule                         00:03:22.980 00:03:23.140
geschickt.                     00:03:23.140 00:03:23.540
Das                            00:03:24.740 00:03:24.860
muss                           00:03:24.860 00:03:26.660
sich                           00:03:26.660 00:03:26.900
ändern.                        00:03:26.900 00:03:27.180
Wenn                           00:03:27.580 00:03:27.660
wir                            00:03:27.660 00:03:28.100
brauchen                       00:03:28.100 00:03:28.480
für                            00:03:28.480 00:03:28.680
die                            00:03:28.680 00:03:28.820
Welt                           00:03:28.820 00:03:29.020
von                            00:03:29.020 00:03:29.240
morgen                         00:03:29.240 00:03:29.680
Helden,                        00:03:29.680 00:03:30.660
wir                            00:03:30.760 00:03:30.820
brauchen                       00:03:30.820 00:03:31.160
Menschen,                      00:03:31.160 00:03:31.620
die                            00:03:32.000 00:03:32.000
nicht                          00:03:32.000 00:03:32.780
die                            00:03:32.780 00:03:32.920
Lust                           00:03:32.920 00:03:33.200
am                             00:03:33.200 00:03:33.520
lernen                         00:03:33.520 00:03:33.740
verloren                       00:03:33.740 00:03:34.240
haben.                         00:03:34.240 00:03:34.780
Unsere                         00:03:35.020 00:03:35.360
Schulen                        00:03:35.360 00:03:35.820
müssten                        00:03:35.820 00:03:36.960
eigentlich,                    00:03:36.960 00:03:37.860
ja,                            00:03:38.480 00:03:38.700
ja,                            00:03:39.780 00:03:40.080
mussten                        00:03:40.200 00:03:40.460
Basislager                     00:03:40.460 00:03:41.500
für                            00:03:41.500 00:03:42.240
Helden,                        00:03:42.240 00:03:43.820
die                            00:03:43.920 00:03:44.280
dort                           00:03:44.280 00:03:44.440
rauskommen                     00:03:44.440 00:03:44.960
werden.                        00:03:44.960 00:03:45.460
Das                            00:03:45.760 00:03:45.880
müssten                        00:03:45.880 00:03:46.300
Adlerhorstes                   00:03:46.300 00:03:47.320
sein                           00:03:47.320 00:03:47.660
für                            00:03:47.660 00:03:48.380
die                            00:03:48.380 00:03:48.560
Überflieger                    00:03:48.560 00:03:49.420
und                            00:03:49.420 00:03:51.120
die                            00:03:51.120 00:03:51.280
Gestaltung                     00:03:51.280 00:03:51.680
unserer                        00:03:51.680 00:03:52.140
Zukunft.                       00:03:52.140 00:03:52.680
Es                             00:03:53.040 00:03:53.200
müssten                        00:03:53.200 00:03:53.540
Werkstätten                    00:03:53.540 00:03:54.380
sein,                          00:03:54.380 00:03:54.660
wo                             00:03:54.920 00:03:55.040
Kinder                         00:03:55.040 00:03:56.420
und                            00:03:56.420 00:03:56.660
Jugendliche                    00:03:56.660 00:03:57.280
erleben.                       00:03:57.280 00:03:58.120
Wie                            00:03:58.300 00:03:58.300
schön                          00:03:58.300 00:03:58.560
das                            00:03:58.560 00:03:58.760
ist,                           00:03:58.760 00:03:58.880
wenn                           00:03:59.020 00:03:59.080
man                            00:03:59.080 00:03:59.220
gemeinsam                      00:03:59.220 00:03:59.800
was                            00:03:59.800 00:04:00.080
entdeckt,                      00:04:00.080 00:04:00.580
wenn                           00:04:00.760 00:04:00.780
man                            00:04:00.780 00:04:01.420
gemeinsam                      00:04:01.420 00:04:02.060
was                            00:04:02.060 00:04:02.760
gestalten                      00:04:02.760 00:04:03.200
kann.                          00:04:03.200 00:04:03.560
Und                            00:04:04.660 00:04:04.760
es                             00:04:04.760 00:04:04.920
müssten                        00:04:04.920 00:04:05.320
auch                           00:04:05.320 00:04:05.680
Orte                           00:04:05.680 00:04:06.580
sein,                          00:04:06.580 00:04:06.860
wo                             00:04:07.060 00:04:07.080
das                            00:04:07.080 00:04:07.360
erworben                       00:04:07.360 00:04:07.940
wird,                          00:04:07.940 00:04:08.080
was                            00:04:08.220 00:04:08.300
man                            00:04:08.300 00:04:08.460
draußen                        00:04:08.460 00:04:08.740
im                             00:04:08.740 00:04:08.980
Leben                          00:04:08.980 00:04:09.260
wirklich                       00:04:09.260 00:04:09.660
braucht.                       00:04:09.660 00:04:10.440
Nimm                           00:04:11.080 00:04:11.500
mich                           00:04:11.500 00:04:11.660
diese                          00:04:11.660 00:04:11.900
wunderbaren                    00:04:11.900 00:04:12.500
Lebenskompetenzen              00:04:12.500 00:04:13.740
über                           00:04:13.740 00:04:14.000
die                            00:04:14.000 00:04:14.140
ich                            00:04:14.140 00:04:14.240
gleich                         00:04:14.240 00:04:14.400
noch                           00:04:14.400 00:04:14.620
einen                          00:04:14.620 00:04:14.740
Augenblick                     00:04:14.740 00:04:15.120
reden                          00:04:15.120 00:04:15.940
werde.                         00:04:15.940 00:04:16.180
So                             00:04:16.780 00:04:17.040
sind                           00:04:17.040 00:04:17.380
manche                         00:04:17.380 00:04:18.340
Schulen,                       00:04:18.340 00:04:18.580
aber                           00:04:18.900 00:04:19.080
leider                         00:04:19.080 00:04:19.400
noch                           00:04:19.400 00:04:19.640
nicht                          00:04:19.640 00:04:19.860
alle.                          00:04:19.860 00:04:20.200
Und                            00:04:21.280 00:04:21.400
deshalb                        00:04:21.400 00:04:21.660
werde                          00:04:21.660 00:04:21.920
ich                            00:04:21.920 00:04:22.120
nicht                          00:04:22.120 00:04:22.300
müde                           00:04:22.300 00:04:22.600
immer                          00:04:22.600 00:04:22.820
wieder                         00:04:22.820 00:04:23.080
darauf                         00:04:23.080 00:04:23.400
hinzuweisen.                   00:04:23.400 00:04:23.960
Das                            00:04:23.960 00:04:24.200
ist                            00:04:24.200 00:04:24.360
schön,                         00:04:24.360 00:04:24.620
wenn                           00:04:24.740 00:04:25.080
es                             00:04:25.080 00:04:25.260
uns                            00:04:25.260 00:04:25.440
gelenke                        00:04:25.440 00:04:25.900
alle                           00:04:25.900 00:04:26.180
Schulen                        00:04:26.180 00:04:26.480
in                             00:04:26.480 00:04:28.040
solche                         00:04:28.040 00:04:28.180
Adlerhorste                    00:04:28.180 00:04:29.080
zu                             00:04:29.080 00:04:30.000
verwandeln.                    00:04:30.000 00:04:30.500
Viele                          00:04:30.740 00:04:31.120
Adlerhorste                    00:04:31.120 00:04:32.600
in                             00:04:32.600 00:04:33.220
Form                           00:04:33.220 00:04:33.480
von                            00:04:33.480 00:04:33.660
Schulen                        00:04:33.660 00:04:34.040
gleichen                       00:04:34.040 00:04:35.180
im                             00:04:35.180 00:04:35.360
Augenblick                     00:04:35.360 00:04:35.820
eher                           00:04:35.820 00:04:36.140
so                             00:04:36.140 00:04:36.400
Hühnerstellen,                 00:04:36.400 00:04:37.280
wo                             00:04:37.560 00:04:37.820
jeder                          00:04:37.820 00:04:38.520
