Wort                                  Start         Ende
--------------------------------------------------------
Ja,                            00:00:07.680 00:00:08.240
nachher                        00:00:32.760 00:00:32.980
nicht                          00:00:32.980 00:00:33.120
mehr                           00:00:33.120 00:00:33.260
so                             00:00:33.260 00:00:33.380
stark                          00:00:33.380 00:00:33.640
bewegt                         00:00:33.640 00:00:34.060
hat,                           00:00:34.060 00:00:34.260
dann                           00:00:34.420 00:00:34.460
war                            00:00:34.460 00:00:34.600
das                            00:00:34.600 00:00:34.740
Thema                          00:00:34.740 00:00:35.100
Identität.                     00:00:35.100 00:00:35.760
Der                            00:00:36.340 00:00:36.560
Name                           00:00:36.560 00:00:36.720
Bodo                           00:00:36.720 00:00:37.160
und                            00:00:37.160 00:00:37.600
Antnitch                       00:00:37.600 00:00:38.100
zeigt                          00:00:38.100 00:00:39.220
vielleicht                     00:00:39.220 00:00:39.520
schon                          00:00:39.520 00:00:39.780
das                            00:00:39.780 00:00:39.920
Problem,                       00:00:39.920 00:00:40.420
das                            00:00:41.140 00:00:41.360
ist                            00:00:41.360 00:00:41.500
die                            00:00:41.500 00:00:41.700
erste                          00:00:41.700 00:00:42.120
Ebene,                         00:00:42.120 00:00:42.540
also                           00:00:42.660 00:00:42.780
Bodo                           00:00:42.780 00:00:43.180
klingt                         00:00:43.180 00:00:43.460
reichlich                      00:00:43.460 00:00:43.980
germanisch,                    00:00:43.980 00:00:44.660
Antnitch                       00:00:45.200 00:00:45.620
näher,                         00:00:45.620 00:00:45.960
das                            00:00:46.020 00:00:46.080
ist                            00:00:46.080 00:00:46.220
irgendeinem                    00:00:46.220 00:00:46.780
Jugo,                          00:00:46.780 00:00:47.000
der                            00:00:47.240 00:00:47.320
kommt                          00:00:47.320 00:00:47.720
da                             00:00:47.720 00:00:47.920
keiner,                        00:00:47.920 00:00:48.160
also                           00:00:48.440 00:00:48.540
in                             00:00:48.540 00:00:48.620
meinem                         00:00:48.620 00:00:48.740
Fall,                          00:00:48.740 00:00:48.960
ich                            00:00:49.120 00:00:49.240
bin                            00:00:49.240 00:00:49.360
Dall                           00:00:49.360 00:00:49.560
Martina,                       00:00:49.560 00:00:49.960
alles                          00:00:50.720 00:00:51.000
zeigt                          00:00:51.000 00:00:51.280
nur                            00:00:51.280 00:00:51.520
die                            00:00:51.520 00:00:51.660
Hälfte                         00:00:51.660 00:00:51.980
des                            00:00:51.980 00:00:52.160
Problems,                      00:00:52.160 00:00:52.780
weil                           00:00:53.060 00:00:53.280
ich                            00:00:53.280 00:00:53.420
finde                          00:00:53.420 00:00:53.500
ich                            00:00:53.500 00:00:53.660
nur                            00:00:53.660 00:00:53.840
Deutscher                      00:00:53.840 00:00:54.780
und                            00:00:54.780 00:00:55.300
Koate,                         00:00:55.300 00:00:55.920
sondern                        00:00:56.820 00:00:57.180
ich                            00:00:57.180 00:00:57.420
bin                            00:00:57.420 00:00:57.540
deutsch,                       00:00:57.540 00:00:58.500
österreichisch,                00:00:58.740 00:00:59.760
koartischer                    00:00:59.880 00:01:00.580
Perser.                        00:01:00.580 00:01:01.360
Also                           00:01:03.540 00:01:03.700
normalerweise                  00:01:03.700 00:01:04.240
gehört                         00:01:04.240 00:01:04.400
so                             00:01:04.400 00:01:04.580
was,                           00:01:04.580 00:01:04.720
wie                            00:01:04.860 00:01:04.880
ich                            00:01:04.880 00:01:05.020
auf                            00:01:05.020 00:01:05.120
die                            00:01:05.120 00:01:05.260
Bank,                          00:01:05.260 00:01:05.440
ne,                            00:01:05.720 00:01:05.800
das                            00:01:05.920 00:01:06.140
ist                            00:01:06.140 00:01:06.320
so.                            00:01:06.320 00:01:06.440
Und                            00:01:07.660 00:01:08.020
jetzt                          00:01:08.020 00:01:08.140
können                         00:01:08.140 00:01:08.320
Sie                            00:01:08.320 00:01:08.500
sich                           00:01:08.500 00:01:08.660
vielleicht                     00:01:08.660 00:01:08.880
hervorstellen,                 00:01:08.880 00:01:09.500
in                             00:01:09.580 00:01:09.660
welche                         00:01:09.660 00:01:09.940
Spannungsfelder                00:01:10.640 00:01:11.000
man                            00:01:11.000 00:01:11.120
da                             00:01:11.120 00:01:11.280
reinkommt,                     00:01:11.280 00:01:11.680
ich                            00:01:11.820 00:01:11.880
werde                          00:01:11.880 00:01:11.980
Ihnen                          00:01:11.980 00:01:12.100
ein,                           00:01:12.100 00:01:12.280
zwei                           00:01:12.440 00:01:12.500
Geschichten                    00:01:12.500 00:01:12.900
erzählen,                      00:01:12.900 00:01:13.380
die                            00:01:13.420 00:01:13.480
ich                            00:01:13.480 00:01:13.580
als                            00:01:13.580 00:01:13.740
junger                         00:01:13.740 00:01:14.020
Mensch,                        00:01:14.020 00:01:14.180
als                            00:01:14.240 00:01:14.400
junger                         00:01:14.400 00:01:14.700
Mann,                          00:01:14.700 00:01:15.160
noch                           00:01:15.340 00:01:15.400
nicht,                         00:01:15.400 00:01:15.580
aber                           00:01:15.660 00:01:15.780
als                            00:01:15.780 00:01:15.940
junger                         00:01:15.940 00:01:16.100
Mensch                         00:01:16.100 00:01:16.280
erlebt                         00:01:16.280 00:01:16.580
habe                           00:01:16.580 00:01:16.820
und                            00:01:16.820 00:01:17.360
wie                            00:01:17.360 00:01:17.540
ich                            00:01:17.540 00:01:17.700
aus                            00:01:17.700 00:01:17.980
dem,                           00:01:17.980 00:01:18.800
was                            00:01:18.800 00:01:19.200
mich                           00:01:19.200 00:01:19.540
mein                           00:01:19.540 00:01:19.940
genommen,                      00:01:19.940 00:01:20.740
meine                          00:01:21.020 00:01:21.240
Geburt                         00:01:21.240 00:01:21.580
reingestürzt                   00:01:21.580 00:01:22.360
hat,                           00:01:22.360 00:01:22.580
meine                          00:01:22.740 00:01:22.940
Mutter                         00:01:22.940 00:01:23.200
noch                           00:01:23.200 00:01:23.420
viel                           00:01:23.420 00:01:23.900
mehr,                          00:01:23.900 00:01:24.220
wie                            00:01:24.780 00:01:25.620
ich                            00:01:25.620 00:01:25.720
aus                            00:01:25.720 00:01:25.800
dem                            00:01:25.800 00:01:25.920
rausgekommen                   00:01:25.920 00:01:26.500
bin,                           00:01:26.500 00:01:26.700
aus                            00:01:26.800 00:01:26.860
dieser                         00:01:26.860 00:01:27.120
Identitätskrise.               00:01:27.120 00:01:28.020
Ich                            00:01:28.200 00:01:28.300
habe                           00:01:28.300 00:01:28.380
Ihnen                          00:01:28.380 00:01:28.580
also                           00:01:28.580 00:01:28.780
irgendwo                       00:01:28.780 00:01:29.120
so                             00:01:29.120 00:01:29.340
ein                            00:01:29.340 00:01:29.440
Triallog                       00:01:29.440 00:01:29.960
aus                            00:01:29.960 00:01:30.400
Freiheit,                      00:01:30.400 00:01:30.900
Identität                      00:01:31.320 00:01:31.880
und                            00:01:31.880 00:01:32.160
Spielregeln                    00:01:32.160 00:01:32.800
mitgebracht,                   00:01:32.800 00:01:33.360
das                            00:01:33.700 00:01:33.900
war                            00:01:33.900 00:01:34.040
mein                           00:01:34.040 00:01:34.240
ganz                           00:01:34.240 00:01:34.420
persönliches                   00:01:34.420 00:01:35.180
eigenes                        00:01:35.180 00:01:35.600
Konzept,                       00:01:35.600 00:01:35.980
mein                           00:01:36.220 00:01:36.400
eigenes                        00:01:36.400 00:01:37.620
Rezept,                        00:01:37.620 00:01:38.040
um                             00:01:38.280 00:01:38.340
mit                            00:01:38.340 00:01:38.520
dem                            00:01:38.520 00:01:38.660
Thema                          00:01:38.660 00:01:39.200
Identitätskrise                00:01:39.200 00:01:40.600
umzugehen.                     00:01:40.600 00:01:41.320
Ich                            00:01:44.960 00:01:45.480
war                            00:01:45.480 00:01:45.560
ca.                            00:01:45.560 00:01:45.720
5                              00:01:45.940 00:01:46.100
oder                           00:01:46.100 00:01:46.620
4,                             00:01:46.620 00:01:46.920
es                             00:01:47.160 00:01:47.360
war                            00:01:47.360 00:01:47.480
die                            00:01:47.480 00:01:47.740
Insel,                         00:01:47.740 00:01:47.900
war                            00:01:48.040 00:01:48.240
eine                           00:01:48.240 00:01:48.700
kratische                      00:01:48.700 00:01:49.280
Insel                          00:01:49.280 00:01:49.580
na                             00:01:49.580 00:01:49.800
'er                            00:01:49.800 00:01:49.900
Split,                         00:01:49.900 00:01:50.160
wenn                           00:01:50.400 00:01:50.400
jemand                         00:01:50.400 00:01:50.640
fürs                           00:01:50.640 00:01:50.860
nächste                        00:01:50.860 00:01:51.040
Jahr                           00:01:51.040 00:01:51.320
Urlaub                         00:01:51.320 00:01:51.540
plant,                         00:01:51.540 00:01:51.760
fahren                         00:01:51.980 00:01:52.040
sehen,                         00:01:52.040 00:01:52.280
wunderschöne                   00:01:52.500 00:01:52.920
Insel.                         00:01:52.920 00:01:53.200
Kinder                         00:01:55.480 00:01:55.920
spielten,                      00:01:55.920 00:01:56.460
deutsche                       00:01:56.560 00:01:56.820
Kinder,                        00:01:56.820 00:01:57.060
man                            00:01:57.060 00:01:57.280
lernt                          00:01:57.280 00:01:57.520
es                             00:01:57.520 00:01:57.600
sich                           00:01:57.600 00:01:57.760
kennen.                        00:01:57.760 00:01:58.060
Ich                            00:01:59.100 00:01:59.380
weiß                           00:01:59.380 00:01:59.520
es                             00:01:59.520 00:01:59.700
für                            00:01:59.700 00:01:59.800
heute                          00:01:59.800 00:01:59.920
noch,                          00:01:59.920 00:02:00.060
blondes                        00:02:00.180 00:02:00.480
Mädchen,                       00:02:00.480 00:02:00.840
ich                            00:02:00.920 00:02:01.220
stand                          00:02:01.220 00:02:01.360
meines                         00:02:01.360 00:02:01.780
Wissens                        00:02:01.780 00:02:02.040
nach                           00:02:02.040 00:02:02.260
zu                             00:02:02.260 00:02:02.420
meiner                         00:02:02.420 00:02:02.580
Rechten,                       00:02:02.580 00:02:02.880
zumindest                      00:02:03.000 00:02:03.280
ist                            00:02:03.280 00:02:03.440
sie                            00:02:03.440 00:02:03.560
mein                           00:02:03.560 00:02:03.800
Erinnerungsprotokoll,          00:02:03.800 00:02:04.720
so.                            00:02:04.960 00:02:04.960
Kugte                          00:02:05.260 00:02:05.580
mich                           00:02:05.580 00:02:05.700
an                             00:02:05.700 00:02:05.880
im                             00:02:05.880 00:02:05.980
Frakt                          00:02:05.980 00:02:06.380
nur,                           00:02:06.380 00:02:06.760
wie                            00:02:06.920 00:02:07.040
Kinder                         00:02:07.040 00:02:07.260
das                            00:02:07.260 00:02:07.440
so                             00:02:07.440 00:02:07.580
machen,                        00:02:07.580 00:02:07.780
wer                            00:02:07.880 00:02:07.960
bist                           00:02:07.960 00:02:08.180
du?                            00:02:08.180 00:02:08.320
Und                            00:02:09.060 00:02:09.160
nicht                          00:02:09.160 00:02:09.300
nur,                           00:02:09.300 00:02:09.440
ich                            00:02:09.520 00:02:09.600
bin                            00:02:09.600 00:02:09.700
der                            00:02:09.700 00:02:09.840
Bodo.                          00:02:09.840 00:02:10.020
Okay,                          00:02:11.680 00:02:11.880
die                            00:02:12.260 00:02:12.340
Neugier                        00:02:12.340 00:02:12.680
gegen                          00:02:12.680 00:02:12.800
weiter,                        00:02:12.800 00:02:13.160
ja                             00:02:13.380 00:02:13.480
und                            00:02:13.480 00:02:13.800
dein                           00:02:13.800 00:02:13.940
Nachnahme,                     00:02:13.940 00:02:14.500
ja,                            00:02:14.920 00:02:15.320
ich                            00:02:15.360 00:02:15.460
heiß                           00:02:15.460 00:02:15.560
Antonage.                      00:02:15.560 00:02:16.260
Die                            00:02:17.080 00:02:17.180
Reaktion                       00:02:17.180 00:02:17.620
war                            00:02:17.620 00:02:17.840
nicht                          00:02:17.840 00:02:18.020
hin,                           00:02:18.020 00:02:18.180
sondern                        00:02:18.380 00:02:18.540
iiii,                          00:02:18.540 00:02:20.300
weil                           00:02:20.300 00:02:20.840
wir                            00:02:20.840 00:02:20.960
sehen                          00:02:20.960 00:02:21.100
den                            00:02:21.100 00:02:21.260
Quatsen,                       00:02:21.260 00:02:21.840
damals                         00:02:21.880 00:02:22.060
noch                           00:02:22.060 00:02:22.260
Yugoslavien                    00:02:22.260 00:02:22.880
und                            00:02:22.880 00:02:22.980
ein                            00:02:22.980 00:02:23.140
deutsches                      00:02:23.140 00:02:23.520
Mädchen,                       00:02:23.520 00:02:23.940
sagt                           00:02:24.360 00:02:24.400
zu                             00:02:24.400 00:02:24.620
mir,                           00:02:24.620 00:02:24.760
was                            00:02:25.340 00:02:26.000
bist                           00:02:26.000 00:02:26.220
du                             00:02:26.220 00:02:26.500
für                            00:02:26.500 00:02:26.700
einer?                         00:02:26.700 00:02:26.880
Und                            00:02:27.960 00:02:28.220
ich                            00:02:28.220 00:02:28.400
überlegen                      00:02:28.400 00:02:28.880
sie                            00:02:28.880 00:02:29.060
sich                           00:02:29.060 00:02:29.240
fünf                           00:02:29.240 00:02:29.400
Jahre                          00:02:29.400 00:02:29.620
alt,                           00:02:29.620 00:02:30.020
sie                            00:02:31.380 00:02:31.640
treten                         00:02:31.640 00:02:32.040
da                             00:02:32.040 00:02:32.200
einfach                        00:02:32.200 00:02:32.520
aus,                           00:02:32.520 00:02:32.800
dass                           00:02:32.920 00:02:32.960
Situation                      00:02:32.960 00:02:33.220
raus,                          00:02:33.220 00:02:33.700
sie                            00:02:33.760 00:02:33.860
sind                           00:02:33.860 00:02:34.020
völlig                         00:02:34.020 00:02:34.340
überfahren.                    00:02:34.340 00:02:34.820
Und                            00:02:36.340 00:02:36.560
ich                            00:02:36.560 00:02:36.640
fühlte                         00:02:36.640 00:02:36.920
mich                           00:02:36.920 00:02:37.060
in                             00:02:37.060 00:02:37.200
dem                            00:02:37.200 00:02:37.340
Moment                         00:02:37.340 00:02:37.600
wie                            00:02:37.600 00:02:37.800
so                             00:02:37.800 00:02:37.940
ein                            00:02:37.940 00:02:38.080
Invekt,                        00:02:38.080 00:02:38.640
mit                            00:02:39.680 00:02:39.760
Grund                          00:02:39.760 00:02:39.960
genommen,                      00:02:39.960 00:02:40.180
so                             00:02:40.320 00:02:40.400
aufs                           00:02:40.400 00:02:40.580
Objektiv                       00:02:40.580 00:02:41.300
gelegt                         00:02:42.000 00:02:42.400
und                            00:02:42.400 00:02:42.680
untersucht.                    00:02:42.680 00:02:43.180
Der                            00:02:44.460 00:02:44.660
Spiel                          00:02:44.660 00:02:44.860
ging                           00:02:44.860 00:02:45.040
weiter.                        00:02:45.040 00:02:45.440
Die                            00:02:46.520 00:02:46.640
junge                          00:02:46.640 00:02:46.820
Dame                           00:02:46.820 00:02:47.060
fragte                         00:02:47.060 00:02:47.500
dann,                          00:02:47.500 00:02:47.620
wo                             00:02:47.800 00:02:47.920
ist                            00:02:47.920 00:02:48.000
deine                          00:02:48.000 00:02:48.160
Mama?                          00:02:48.160 00:02:48.440
Wir                            00:02:49.140 00:02:49.260
spielten                       00:02:49.260 00:02:49.660
in                             00:02:49.660 00:02:49.760
der                            00:02:49.760 00:02:49.860
Nähe                           00:02:49.860 00:02:50.060
eines                          00:02:50.060 00:02:50.420
Tanzcafés,                     00:02:50.420 00:02:51.680
indem                          00:02:52.140 00:02:52.460
wir                            00:02:52.460 00:02:52.620
ganz                           00:02:52.620 00:02:52.800
gerne                          00:02:52.800 00:02:53.080
waren,                         00:02:53.080 00:02:53.320
gutes                          00:02:53.520 00:02:53.660
Essen,                         00:02:53.660 00:02:53.900
Mette                          00:02:54.140 00:02:54.400
Musik,                         00:02:54.400 00:02:54.680
und                            00:02:54.940 00:02:54.940
so,                            00:02:54.940 00:02:55.040
sagt                           00:02:55.200 00:02:55.680
sie                            00:02:55.680 00:02:55.820
davon.                         00:02:55.820 00:02:56.040
Nachdem                        00:02:57.380 00:02:57.760
sie                            00:02:57.760 00:02:57.920
mich                           00:02:57.920 00:02:58.100
jetzt                          00:02:58.100 00:02:58.160
auf                            00:02:58.160 00:02:58.360
den                            00:02:58.360 00:02:58.520
Objekt                         00:02:58.520 00:02:58.820
Teller                         00:02:58.820 00:02:59.200
gelegt                         00:02:59.200 00:02:59.520
hatte,                         00:02:59.520 00:02:59.840
kam                            00:03:00.020 00:03:00.080
noch                           00:03:00.080 00:03:00.240
das                            00:03:00.240 00:03:00.400
Messer.                        00:03:00.400 00:03:00.760
Und                            00:03:01.620 00:03:01.720
kam                            00:03:01.720 00:03:01.820
nämlich                        00:03:01.820 00:03:02.020
die                            00:03:02.020 00:03:02.220
Frage,                         00:03:02.220 00:03:02.700
ich                            00:03:03.360 00:03:03.880
war                            00:03:03.880 00:03:03.980
vier                           00:03:03.980 00:03:04.180
oder                           00:03:04.180 00:03:04.340
fünf,                          00:03:04.340 00:03:04.520
und                            00:03:05.100 00:03:05.340
wo                             00:03:05.340 00:03:05.440
ist                            00:03:05.440 00:03:05.560
dein                           00:03:05.560 00:03:05.680
Papa?                          00:03:05.680 00:03:05.940
Und                            00:03:07.600 00:03:07.780
ich                            00:03:07.780 00:03:08.040
war                            00:03:08.040 00:03:08.040
nicht                          00:03:08.040 00:03:08.040
Papa,                          00:03:08.040 00:03:10.540
da                             00:03:11.120 00:03:12.080
gab                            00:03:12.080 00:03:12.220
es                             00:03:12.220 00:03:12.400
kein.                          00:03:12.400 00:03:12.600
Es                             00:03:14.100 00:03:14.360
gab                            00:03:14.360 00:03:14.520
schlichtweg                    00:03:14.520 00:03:15.240
kein.                          00:03:15.240 00:03:15.620
Meine                          00:03:16.120 00:03:16.400
Mutter                         00:03:16.400 00:03:16.580
war                            00:03:16.580 00:03:16.740
alleine                        00:03:16.740 00:03:16.960
als                            00:03:16.960 00:03:17.220
sie,                           00:03:17.220 00:03:17.320
wir                            00:03:17.400 00:03:17.560
sprechen                       00:03:17.560 00:03:17.880
über                           00:03:17.880 00:03:18.120
das                            00:03:18.120 00:03:18.260
Jahr,                          00:03:18.260 00:03:18.440
vier,                          00:03:18.600 00:03:18.920
fünf                           00:03:19.000 00:03:19.100
Jahre,                         00:03:19.100 00:03:19.300
so                             00:03:19.500 00:03:19.500
71,                            00:03:19.500 00:03:19.960
waren                          00:03:20.440 00:03:20.660
ein                            00:03:20.660 00:03:20.740
bisschen                       00:03:20.740 00:03:20.920
ungewöhnlich,                  00:03:20.920 00:03:21.500
aber                           00:03:21.800 00:03:21.920
für                            00:03:21.920 00:03:22.080
mich                           00:03:22.080 00:03:22.200
als                            00:03:22.200 00:03:22.620
junger                         00:03:22.620 00:03:23.340
Mann                           00:03:23.340 00:03:23.460
erst                           00:03:23.460 00:03:23.720
mal                            00:03:23.720 00:03:23.860
nichts                         00:03:23.860 00:03:24.040
ungewöhnliches,                00:03:24.040 00:03:24.820
weil                           00:03:24.900 00:03:24.940
ich                            00:03:24.940 00:03:25.080
bin                            00:03:25.080 00:03:25.220
ja                             00:03:25.220 00:03:25.340
in                             00:03:25.340 00:03:25.440
diesem                         00:03:25.440 00:03:25.640
Kontext                        00:03:25.640 00:03:26.200
aufgewachsen.                  00:03:26.200 00:03:26.960
Bloß                           00:03:28.980 00:03:29.420
plötzlich                      00:03:29.420 00:03:29.680
kam                            00:03:29.680 00:03:29.900
dieser                         00:03:29.900 00:03:30.160
Kontext                        00:03:30.160 00:03:30.560
völlig                         00:03:30.560 00:03:30.880
verändert                      00:03:30.880 00:03:31.200
beim                           00:03:31.200 00:03:31.440
Jahren                         00:03:31.440 00:03:31.680
und                            00:03:31.680 00:03:31.900
jetzt                          00:03:31.900 00:03:32.080
fühlt                          00:03:32.080 00:03:32.260
ich                            00:03:32.260 00:03:32.380
mich                           00:03:32.380 00:03:32.540
nicht                          00:03:32.540 00:03:32.820
nur                            00:03:32.820 00:03:33.020
wie                            00:03:33.020 00:03:33.140
safen                          00:03:33.140 00:03:33.400
Objekt                         00:03:33.400 00:03:33.720
teller,                        00:03:33.720 00:03:34.000
sondern                        00:03:34.100 00:03:34.200
noch                           00:03:34.200 00:03:34.360
gleich                         00:03:34.360 00:03:34.580
erstochen                      00:03:34.580 00:03:35.040
und                            00:03:35.040 00:03:35.160
geführte.                      00:03:35.160 00:03:35.640
Jetzt                          00:03:36.760 00:03:37.140
hat                            00:03:37.140 00:03:37.260
man                            00:03:37.260 00:03:37.400
schon                          00:03:37.400 00:03:37.660
eine                           00:03:37.660 00:03:38.500
maße                           00:03:38.500 00:03:38.840
schwierig                      00:03:38.840 00:03:39.100
in                             00:03:39.100 00:03:39.380
diesem                         00:03:39.380 00:03:39.580
Moment,                        00:03:39.580 00:03:39.900
jetzt                          00:03:40.360 00:03:40.560
kriegt                         00:03:40.560 00:03:40.760
man                            00:03:40.760 00:03:40.880
noch                           00:03:40.880 00:03:41.020
so                             00:03:41.020 00:03:41.160
eine                           00:03:41.160 00:03:41.240
bekloppte                      00:03:41.240 00:03:41.840
Lieberfallgesagt,              00:03:41.840 00:03:42.640
Mutter                         00:03:42.820 00:03:42.960
an                             00:03:42.960 00:03:43.200
die                            00:03:43.200 00:03:43.300
Seite.                         00:03:43.300 00:03:43.540
Man                            00:03:44.760 00:03:44.880
hätte                          00:03:44.880 00:03:45.060
ja                             00:03:45.060 00:03:45.340
überlegen,                     00:03:45.340 00:03:46.380
sie                            00:03:46.520 00:03:46.860
sind                           00:03:46.860 00:03:47.220
ja                             00:03:47.220 00:03:47.340
als                            00:03:47.340 00:03:47.760
wahrscheinlich                 00:03:47.760 00:03:48.560
eigentlich                     00:03:48.560 00:03:49.400
Deutsche,                      00:03:49.400 00:03:49.860
die                            00:03:49.900 00:03:50.100
hier                           00:03:50.100 00:03:50.300
sind,                          00:03:50.300 00:03:50.560
in                             00:03:51.620 00:03:51.720
ihren                          00:03:51.720 00:03:52.380
deutschen                      00:03:52.380 00:03:52.940
Kontexts                       00:03:52.940 00:03:53.740
rein                           00:03:53.740 00:03:53.880
geboren                        00:03:53.880 00:03:54.220
worden.                        00:03:54.220 00:03:54.540
Ich                            00:03:55.000 00:03:55.260
bin                            00:03:55.260 00:03:55.400
da                             00:03:55.400 00:03:55.580
nicht                          00:03:55.580 00:03:55.720
rein                           00:03:55.720 00:03:56.060
geboren                        00:03:56.060 00:03:56.500
worden.                        00:03:56.500 00:03:56.780
Ich                            00:03:57.320 00:03:57.560
hatte                          00:03:57.560 00:03:57.660
nicht                          00:03:57.660 00:03:57.900
dieses,                        00:03:57.900 00:03:58.220
ich                            00:03:58.360 00:03:58.480
nenne                          00:03:58.480 00:03:58.600
es                             00:03:58.600 00:03:58.740
mal,                           00:03:58.740 00:03:58.840
geburt's                       00:03:59.140 00:03:59.760
recht                          00:03:59.760 00:03:59.980
des                            00:03:59.980 00:04:00.380
deutschen,                     00:04:00.380 00:04:01.000
des                            00:04:01.140 00:04:01.240
Franzosen,                     00:04:01.240 00:04:01.900
da                             00:04:04.040 00:04:04.500
Koate,                         00:04:04.500 00:04:04.960
der                            00:04:05.080 00:04:05.220
in                             00:04:05.220 00:04:05.320
seine                          00:04:05.320 00:04:05.500
eigene                         00:04:05.500 00:04:06.160
Kultur                         00:04:06.160 00:04:06.780
reingeboren                    00:04:06.780 00:04:07.420
war,                           00:04:07.420 00:04:07.640
da.                            00:04:07.840 00:04:07.840
Die                            00:04:08.180 00:04:08.320
hatte                          00:04:08.320 00:04:08.500
ich                            00:04:08.500 00:04:08.740
nicht.                         00:04:08.740 00:04:08.920
Und                            00:04:09.640 00:04:09.700
dann                           00:04:09.700 00:04:09.820
ist                            00:04:09.820 00:04:09.960
dann                           00:04:09.960 00:04:10.120
diese                          00:04:10.120 00:04:10.400
Mutter,                        00:04:10.400 00:04:10.680
die                            00:04:10.680 00:04:10.920
ja                             00:04:10.920 00:04:11.140
ohnehin                        00:04:11.140 00:04:11.820
schon                          00:04:11.820 00:04:12.040
selbst                         00:04:12.040 00:04:12.360
in                             00:04:12.360 00:04:12.600
Sicht                          00:04:12.600 00:04:12.840
zerrissen                      00:04:12.840 00:04:13.300
ist                            00:04:13.300 00:04:13.520
von                            00:04:13.520 00:04:13.640
dem                            00:04:13.640 00:04:13.800
genommen,                      00:04:13.800 00:04:14.100
weil                           00:04:14.320 00:04:14.500
deutsche                       00:04:14.500 00:04:15.260
Österreicherin                 00:04:16.040 00:04:16.500
und                            00:04:16.500 00:04:16.680
Koate,                         00:04:16.680 00:04:17.220
anstatt                        00:04:17.720 00:04:18.620
das,                           00:04:18.620 00:04:19.260
was                            00:04:19.420 00:04:19.520
man                            00:04:19.520 00:04:19.680
vielleicht                     00:04:19.680 00:04:19.960
machen                         00:04:19.960 00:04:20.280
könnte,                        00:04:20.280 00:04:20.760
nach                           00:04:21.080 00:04:21.160
in                             00:04:21.160 00:04:21.320
ein                            00:04:21.320 00:04:21.400
bin                            00:04:21.400 00:04:21.560
ich                            00:04:21.560 00:04:21.720
hier                           00:04:21.720 00:04:21.820
dankbar,                       00:04:21.820 00:04:22.260
nämlich                        00:04:22.860 00:04:23.020
hinzugehen                     00:04:23.020 00:04:23.740
und                            00:04:23.740 00:04:23.860
zu                             00:04:23.860 00:04:23.980
sagen,                         00:04:23.980 00:04:24.180
ne,                            00:04:24.180 00:04:24.340
ja,                            00:04:24.400 00:04:24.440
wurde                          00:04:24.520 00:04:24.620
euch                           00:04:24.620 00:04:24.800
bringt                         00:04:24.800 00:04:24.960
dich                           00:04:24.960 00:04:25.120
jetzt                          00:04:25.120 00:04:25.340
irgendwie                      00:04:25.340 00:04:25.720
in                             00:04:25.720 00:04:26.360
deine                          00:04:26.360 00:04:26.580
Identität,                     00:04:26.580 00:04:27.300
in                             00:04:27.440 00:04:27.500
die                            00:04:27.500 00:04:27.800
dir                            00:04:27.800 00:04:28.260
gegebenen                      00:04:28.260 00:04:28.820
Identität,                     00:04:28.820 00:04:29.420
