filename,source,frame_start,frame_end,time_start,time_end,clip_seconds,fps,detected_rate
08ZWROqoTZo_clip_0016.pickle,08ZWROqoTZo.pickle,2300,2425,1:32.00,1:37.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0017.pickle,08ZWROqoTZo.pickle,2425,2550,1:37.00,1:42.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0018.pickle,08ZWROqoTZo.pickle,2550,2675,1:42.00,1:47.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0019.pickle,08ZWROqoTZo.pickle,2675,2800,1:47.00,1:52.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0020.pickle,08ZWROqoTZo.pickle,2800,2925,1:52.00,1:57.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0021.pickle,08ZWROqoTZo.pickle,2925,3050,1:57.00,2:02.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0022.pickle,08ZWROqoTZo.pickle,3050,3175,2:02.00,2:07.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0023.pickle,08ZWROqoTZo.pickle,3175,3300,2:07.00,2:12.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0024.pickle,08ZWROqoTZo.pickle,3300,3425,2:12.00,2:17.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0025.pickle,08ZWROqoTZo.pickle,3425,3550,2:17.00,2:22.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0026.pickle,08ZWROqoTZo.pickle,3550,3675,2:22.00,2:27.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0027.pickle,08ZWROqoTZo.pickle,3675,3800,2:27.00,2:32.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0028.pickle,08ZWROqoTZo.pickle,3800,3925,2:32.00,2:37.00,5.0,25.0,0.992
08ZWROqoTZo_clip_0029.pickle,08ZWROqoTZo.pickle,3925,4050,2:37.00,2:42.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0030.pickle,08ZWROqoTZo.pickle,4050,4175,2:42.00,2:47.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0031.pickle,08ZWROqoTZo.pickle,4175,4300,2:47.00,2:52.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0032.pickle,08ZWROqoTZo.pickle,4300,4425,2:52.00,2:57.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0033.pickle,08ZWROqoTZo.pickle,4425,4550,2:57.00,3:02.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0034.pickle,08ZWROqoTZo.pickle,4550,4675,3:02.00,3:07.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0035.pickle,08ZWROqoTZo.pickle,4675,4800,3:07.00,3:12.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0036.pickle,08ZWROqoTZo.pickle,4800,4925,3:12.00,3:17.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0037.pickle,08ZWROqoTZo.pickle,4925,5050,3:17.00,3:22.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0038.pickle,08ZWROqoTZo.pickle,5050,5175,3:22.00,3:27.00,5.0,25.0,0.416
08ZWROqoTZo_clip_0039.pickle,08ZWROqoTZo.pickle,5925,6050,3:57.00,4:02.00,5.0,25.0,0.968
08ZWROqoTZo_clip_0040.pickle,08ZWROqoTZo.pickle,6050,6175,4:02.00,4:07.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0041.pickle,08ZWROqoTZo.pickle,6175,6300,4:07.00,4:12.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0042.pickle,08ZWROqoTZo.pickle,6300,6425,4:12.00,4:17.00,5.0,25.0,0.928
08ZWROqoTZo_clip_0043.pickle,08ZWROqoTZo.pickle,6425,6550,4:17.00,4:22.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0044.pickle,08ZWROqoTZo.pickle,6550,6675,4:22.00,4:27.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0045.pickle,08ZWROqoTZo.pickle,6675,6800,4:27.00,4:32.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0046.pickle,08ZWROqoTZo.pickle,6800,6925,4:32.00,4:37.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0047.pickle,08ZWROqoTZo.pickle,6925,7050,4:37.00,4:42.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0048.pickle,08ZWROqoTZo.pickle,7050,7175,4:42.00,4:47.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0049.pickle,08ZWROqoTZo.pickle,7175,7300,4:47.00,4:52.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0050.pickle,08ZWROqoTZo.pickle,7300,7425,4:52.00,4:57.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0051.pickle,08ZWROqoTZo.pickle,7425,7550,4:57.00,5:02.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0052.pickle,08ZWROqoTZo.pickle,7550,7675,5:02.00,5:07.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0053.pickle,08ZWROqoTZo.pickle,7675,7800,5:07.00,5:12.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0054.pickle,08ZWROqoTZo.pickle,7800,7925,5:12.00,5:17.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0055.pickle,08ZWROqoTZo.pickle,7925,8050,5:17.00,5:22.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0056.pickle,08ZWROqoTZo.pickle,8050,8175,5:22.00,5:27.00,5.0,25.0,0.352
08ZWROqoTZo_clip_0057.pickle,08ZWROqoTZo.pickle,8175,8300,5:27.00,5:32.00,5.0,25.0,0.504
08ZWROqoTZo_clip_0058.pickle,08ZWROqoTZo.pickle,8300,8425,5:32.00,5:37.00,5.0,25.0,0.672
08ZWROqoTZo_clip_0059.pickle,08ZWROqoTZo.pickle,8675,8800,5:47.00,5:52.00,5.0,25.0,0.88
08ZWROqoTZo_clip_0060.pickle,08ZWROqoTZo.pickle,8800,8925,5:52.00,5:57.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0061.pickle,08ZWROqoTZo.pickle,8925,9050,5:57.00,6:02.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0062.pickle,08ZWROqoTZo.pickle,9050,9175,6:02.00,6:07.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0063.pickle,08ZWROqoTZo.pickle,9175,9300,6:07.00,6:12.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0064.pickle,08ZWROqoTZo.pickle,9300,9425,6:12.00,6:17.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0065.pickle,08ZWROqoTZo.pickle,9425,9550,6:17.00,6:22.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0066.pickle,08ZWROqoTZo.pickle,9550,9675,6:22.00,6:27.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0067.pickle,08ZWROqoTZo.pickle,9675,9800,6:27.00,6:32.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0068.pickle,08ZWROqoTZo.pickle,9800,9925,6:32.00,6:37.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0069.pickle,08ZWROqoTZo.pickle,10175,10300,6:47.00,6:52.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0070.pickle,08ZWROqoTZo.pickle,10300,10425,6:52.00,6:57.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0071.pickle,08ZWROqoTZo.pickle,10425,10550,6:57.00,7:02.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0072.pickle,08ZWROqoTZo.pickle,10550,10675,7:02.00,7:07.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0073.pickle,08ZWROqoTZo.pickle,10675,10800,7:07.00,7:12.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0074.pickle,08ZWROqoTZo.pickle,10800,10925,7:12.00,7:17.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0075.pickle,08ZWROqoTZo.pickle,10925,11050,7:17.00,7:22.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0076.pickle,08ZWROqoTZo.pickle,11050,11175,7:22.00,7:27.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0077.pickle,08ZWROqoTZo.pickle,11175,11300,7:27.00,7:32.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0078.pickle,08ZWROqoTZo.pickle,11300,11425,7:32.00,7:37.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0079.pickle,08ZWROqoTZo.pickle,11425,11550,7:37.00,7:42.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0080.pickle,08ZWROqoTZo.pickle,11550,11675,7:42.00,7:47.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0081.pickle,08ZWROqoTZo.pickle,11675,11800,7:47.00,7:52.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0082.pickle,08ZWROqoTZo.pickle,11800,11925,7:52.00,7:57.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0083.pickle,08ZWROqoTZo.pickle,11925,12050,7:57.00,8:02.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0084.pickle,08ZWROqoTZo.pickle,12050,12175,8:02.00,8:07.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0085.pickle,08ZWROqoTZo.pickle,12175,12300,8:07.00,8:12.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0086.pickle,08ZWROqoTZo.pickle,12300,12425,8:12.00,8:17.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0087.pickle,08ZWROqoTZo.pickle,12425,12550,8:17.00,8:22.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0088.pickle,08ZWROqoTZo.pickle,12550,12675,8:22.00,8:27.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0089.pickle,08ZWROqoTZo.pickle,12675,12800,8:27.00,8:32.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0090.pickle,08ZWROqoTZo.pickle,13675,13800,9:07.00,9:12.00,5.0,25.0,0.72
08ZWROqoTZo_clip_0091.pickle,08ZWROqoTZo.pickle,13800,13925,9:12.00,9:17.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0092.pickle,08ZWROqoTZo.pickle,13925,14050,9:17.00,9:22.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0093.pickle,08ZWROqoTZo.pickle,14050,14175,9:22.00,9:27.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0094.pickle,08ZWROqoTZo.pickle,14175,14300,9:27.00,9:32.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0095.pickle,08ZWROqoTZo.pickle,14300,14425,9:32.00,9:37.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0096.pickle,08ZWROqoTZo.pickle,14425,14550,9:37.00,9:42.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0097.pickle,08ZWROqoTZo.pickle,14550,14675,9:42.00,9:47.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0098.pickle,08ZWROqoTZo.pickle,14675,14800,9:47.00,9:52.00,5.0,25.0,0.968
08ZWROqoTZo_clip_0099.pickle,08ZWROqoTZo.pickle,14800,14925,9:52.00,9:57.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0100.pickle,08ZWROqoTZo.pickle,14925,15050,9:57.00,10:02.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0101.pickle,08ZWROqoTZo.pickle,15050,15175,10:02.00,10:07.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0102.pickle,08ZWROqoTZo.pickle,15175,15300,10:07.00,10:12.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0103.pickle,08ZWROqoTZo.pickle,15300,15425,10:12.00,10:17.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0104.pickle,08ZWROqoTZo.pickle,15425,15550,10:17.00,10:22.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0105.pickle,08ZWROqoTZo.pickle,15550,15675,10:22.00,10:27.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0106.pickle,08ZWROqoTZo.pickle,15675,15800,10:27.00,10:32.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0107.pickle,08ZWROqoTZo.pickle,15800,15925,10:32.00,10:37.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0108.pickle,08ZWROqoTZo.pickle,15925,16050,10:37.00,10:42.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0109.pickle,08ZWROqoTZo.pickle,16050,16175,10:42.00,10:47.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0110.pickle,08ZWROqoTZo.pickle,16175,16300,10:47.00,10:52.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0111.pickle,08ZWROqoTZo.pickle,16300,16425,10:52.00,10:57.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0112.pickle,08ZWROqoTZo.pickle,16425,16550,10:57.00,11:02.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0113.pickle,08ZWROqoTZo.pickle,16550,16675,11:02.00,11:07.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0114.pickle,08ZWROqoTZo.pickle,16675,16800,11:07.00,11:12.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0115.pickle,08ZWROqoTZo.pickle,17050,17175,11:22.00,11:27.00,5.0,25.0,0.976
08ZWROqoTZo_clip_0116.pickle,08ZWROqoTZo.pickle,17175,17300,11:27.00,11:32.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0117.pickle,08ZWROqoTZo.pickle,17300,17425,11:32.00,11:37.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0118.pickle,08ZWROqoTZo.pickle,17425,17550,11:37.00,11:42.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0119.pickle,08ZWROqoTZo.pickle,17550,17675,11:42.00,11:47.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0120.pickle,08ZWROqoTZo.pickle,17675,17800,11:47.00,11:52.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0121.pickle,08ZWROqoTZo.pickle,17800,17925,11:52.00,11:57.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0122.pickle,08ZWROqoTZo.pickle,17925,18050,11:57.00,12:02.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0123.pickle,08ZWROqoTZo.pickle,18050,18175,12:02.00,12:07.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0124.pickle,08ZWROqoTZo.pickle,18175,18300,12:07.00,12:12.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0125.pickle,08ZWROqoTZo.pickle,18300,18425,12:12.00,12:17.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0126.pickle,08ZWROqoTZo.pickle,18425,18550,12:17.00,12:22.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0127.pickle,08ZWROqoTZo.pickle,18550,18675,12:22.00,12:27.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0128.pickle,08ZWROqoTZo.pickle,18675,18800,12:27.00,12:32.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0129.pickle,08ZWROqoTZo.pickle,18800,18925,12:32.00,12:37.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0130.pickle,08ZWROqoTZo.pickle,18925,19050,12:37.00,12:42.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0131.pickle,08ZWROqoTZo.pickle,19050,19175,12:42.00,12:47.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0132.pickle,08ZWROqoTZo.pickle,19175,19300,12:47.00,12:52.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0133.pickle,08ZWROqoTZo.pickle,19300,19425,12:52.00,12:57.00,5.0,25.0,1.0
08ZWROqoTZo_clip_0134.pickle,08ZWROqoTZo.pickle,19425,19550,12:57.00,13:02.00,5.0,25.0,0.952
08ZWROqoTZo_clip_0135.pickle,08ZWROqoTZo.pickle,19550,19675,13:02.00,13:07.00,5.0,25.0,0.984
